Entity,Code,Year,Deaths - Cause: All causes - Risk: Air pollution - Sex: Both - Age: Age-standardized (Percent)
United States,USA,1990,4.79494226
United States,USA,1991,4.72822076
United States,USA,1992,4.663225313
United States,USA,1993,4.617601635
United States,USA,1994,4.582612092
United States,USA,1995,4.549212874
United States,USA,1996,4.521045799
United States,USA,1997,4.50518856
United States,USA,1998,4.470611402
United States,USA,1999,4.406182017
United States,USA,2000,4.301632903
United States,USA,2001,4.188239375
United States,USA,2002,4.09190773
United States,USA,2003,3.950371317
United States,USA,2004,3.816283337
United States,USA,2005,3.701652581
United States,USA,2006,3.590645794
United States,USA,2007,3.393642005
United States,USA,2008,3.187914461
United States,USA,2009,2.997720381
United States,USA,2010,2.854516977
United States,USA,2011,2.782745531
United States,USA,2012,2.656375588
United States,USA,2013,2.526776956
United States,USA,2014,2.379449052
United States,USA,2015,2.268631244
United States,USA,2016,2.126685308
United States,USA,2017,2.029507215
United States,USA,2018,2.01303798
United States,USA,2019,1.99750438
United States Virgin Islands,VIR,1990,3.057012639
United States Virgin Islands,VIR,1991,3.005969446
United States Virgin Islands,VIR,1992,2.970342083
United States Virgin Islands,VIR,1993,2.927860712
United States Virgin Islands,VIR,1994,2.886056286
United States Virgin Islands,VIR,1995,2.796293909
United States Virgin Islands,VIR,1996,2.759335726
United States Virgin Islands,VIR,1997,2.678549796
United States Virgin Islands,VIR,1998,2.578007772
United States Virgin Islands,VIR,1999,2.462536456
United States Virgin Islands,VIR,2000,2.360730517
United States Virgin Islands,VIR,2001,2.274191874
United States Virgin Islands,VIR,2002,2.165122247
United States Virgin Islands,VIR,2003,2.066904231
United States Virgin Islands,VIR,2004,1.961676879
United States Virgin Islands,VIR,2005,1.913547805
United States Virgin Islands,VIR,2006,1.919382616
United States Virgin Islands,VIR,2007,2.027734952
United States Virgin Islands,VIR,2008,2.044222296
United States Virgin Islands,VIR,2009,2.055712569
United States Virgin Islands,VIR,2010,2.067196436
United States Virgin Islands,VIR,2011,2.09906494
United States Virgin Islands,VIR,2012,2.132399143
United States Virgin Islands,VIR,2013,2.170466558
United States Virgin Islands,VIR,2014,2.206451961
United States Virgin Islands,VIR,2015,2.235307601
United States Virgin Islands,VIR,2016,2.255069049
United States Virgin Islands,VIR,2017,2.259379192
United States Virgin Islands,VIR,2018,2.31017336
United States Virgin Islands,VIR,2019,2.352025195